VIDLET,VIDNUM,TARSEQ,TAR,PART,BEH,DESC,TYPE
AA,1121,1,JOL,JOL,OP,listening to T,SELF
AA,1121,1,JOL,JOL,OP,listening to T,SELF
AA,1121,1,JOL,JOL,OP,listening to T,SELF
AA,1121,1,JOL,JOL,OP,listening to T,SELF
AA,1121,1,JOL,JOL,OP,looks at GRG,SELF
AA,1121,1,JOL,JOL,OP,listening to T,SELF
AA,1121,1,JOL,JOL,OP,listening to T,SELF
AA,1121,2,JOR,AAW,C,listens,PEER
AA,1121,2,JOR,JOR,M,goes to desk,SELF
AA,1121,2,JOR,JOR,OP,writes,SELF
AA,1121,2,JOR,JOR,XP,talks to XXX,SELF
AA,1121,2,JOR,XXX,C,replies,NP
AA,1121,2,JOR,JOR,XP,smiles,SELF
AA,1121,2,JOR,XXX,C,watches,NP
AA,1121,2,JOR,JOR,XA,talks to XXX,SELF
DD,1115,20,SHS,SHS,OA,shows MEW her bracelet,SELF
DD,1115,20,SHS,MEW,C,responds,NP
DD,1115,20,SHS,SHS,OA,talks to CHC,SELF
DD,1115,20,SHS,CHC,C,responds,NP
DD,1115,21,MEM,MEM,OP,reading,SELF
DD,1115,21,MEM,MEM,OP,put bookmark in book,SELF
DD,1115,21,MEM,MEM,OP,closed book,SELF
DD,1115,21,MEM,MEM,OP,listens to T who addresses class,SELF
DD,1115,21,MEM,MEM,OP,listens to T,SELF
DD,1115,21,MEM,MEM,OP,listens to T,SELF
DD,1115,21,MEM,MEM,OP,listens to T,SELF
DD,1115,21,MEM,MEM,OP,listens to T,SELF
DD,1115,21,MEM,MEM,OP,listens to T,SELF
DD,1115,21,MEM,MEM,OP,mumbles to self,SELF
DD,1115,21,MEM,MEM,OP,looks at JOC write on board,SELF
DD,1115,21,MEM,MEM,OP,looks at JOC write on board,SELF
DD,1115,21,MEM,MEM,OP,looks at JOC write on board,SELF
DD,1115,21,MEM,MEM,OP,looks at JOC write on board,SELF
DD,1115,21,MEM,MEM,OP,listens to BRH talk to other social partner,SELF
DD,1115,21,MEM,MEM,OP,looks at board,SELF
DD,1115,21,MEM,MEM,OP,watching JOC write on board,SELF
DD,1115,21,MEM,MEM,OP,looks at board,SELF
DD,1115,22,GRG,GRG,OP,watches JOC at board,SELF
DD,1115,22,GRG,GRG,OP,watches JOC at board,SELF
DD,1115,22,GRG,GRG,OP,watches JOC at board,SELF
DD,1115,22,GRG,GRG,OA,raises hand,SELF
DD,1115,22,GRG,T,C,calls on GRG,TEACHER
DD,1115,22,GRG,GRG,OA,answers question,SELF
DD,1115,22,GRG,T,P,T asks GRG another question,TEACHER
DD,1115,22,GRG,GRG,OA,responds,SELF
DD,1115,22,GRG,T,C,responds,TEACHER
MD,1113,15,LIB,LIB,OA,speaks to ANK,SELF
MD,1113,15,LIB,ANK,C,listens,NP
MD,1113,15,LIB,LIB,OA,speaks to AAW,SELF
MD,1113,15,LIB,AAW,C,responds,NP
MD,1113,15,LIB,LIB,OP,writing,SELF
MD,1113,15,LIB,LIB,OA,raises hand,SELF
MD,1113,15,LIB,LIB,OP,reading blackboard,SELF
MD,1113,15,LIB,LIB,OA,answers w/o raising hand,SELF
MD,1113,15,LIB,LIB,XP,playing w/AAW,SELF
MD,1113,15,LIB,AAW,A,laughs,NP
MD,1113,15,LIB,LIB,OA,speaks to ANK,SELF
MD,1113,15,LIB,ANK,C,responds,NP
MD,1113,17,AAW,teacher,C,looking at his work,TEACHER
MD,1113,17,AAW,AAW,OA,speaks to teahcer,SELF
MD,1113,17,AAW,teacher,I,ignores,TEACHER
MD,1113,17,AAW,AAW,M,moves fr. desk goes to ANK looks at her work,SELF
MD,1113,17,AAW,AAW,OA,speaks to ANK,SELF
MD,1113,17,AAW,ANK,I,ignores his presence,NP
MD,1113,17,AAW,AAW,M,goes to board,SELF
MD,1113,17,AAW,AAW,OA,writes on board,SELF
MD,1113,17,AAW,AAW,M,goes to BRC's desk,SELF
MD,1113,17,AAW,AAW,OA,looks at BRC's work and speaks,SELF
MD,1113,17,AAW,BRC,C,shows work,PEER
MD,1113,17,AAW,AAW,OP,looking at BRC's work,SELF
MD,1113,17,AAW,BRC,C,reading work to AAW,PEER
MD,1113,17,AAW,AAW,OA,talks,SELF
MD,1113,17,AAW,BRC,DIS,"\no\""""",PEER
MD,1113,18,TAJ,TAJ,OA,talking and pointing to something on TRB's paper,SELF
MD,1113,18,TAJ,TRB,C,responds,NP
MD,1113,18,TAJ,TAJ,OA,reads what is on TRB's paper,SELF
SKH,1107,13,SAR,SAR,OP,watches T,SELF
SKH,1107,13,SAR,SAR,OP,watches T,SELF
SKH,1107,13,SAR,SAR,OP,watches T,SELF
SKH,1107,14,BRC,BRC,OP,looks at ANW talking,SELF
SKH,1107,14,BRC,BRC,OP,smiles-she can't see him,SELF
SKH,1107,14,BRC,BRC,OP,doodling but listening,SELF
SKH,1107,14,BRC,BRC,OP,doodling but listening,SELF
SKH,1107,14,BRC,BRC,OP,doodling but listening,SELF
SKH,1121,6,ANW,ANW,OA,Responds,SELF
SKH,1121,6,ANW,SAR,C,listens,NP
SKH,1121,6,ANW,ANW,OA,Reads to SAR,SELF
SKH,1121,6,ANW,SAR,C,listens,NP
SKH,1121,6,ANW,ANW,OP,Writes,SELF
SKH,1121,6,ANW,SAR,P,Comments about work,NP
SKH,1121,6,ANW,ANW,OA,Responds and laughs,SELF
SKH,1121,6,ANW,SAR,C,attends,NP
SKH,1121,6,ANW,ANW,OP,writes,SELF
SKH,1121,7,RAJ,RAJ,OA,talks,SELF
SKH,1121,7,RAJ,T,C,responds,TEACHER
SKH,1121,7,RAJ,RAJ,OA,work on laptop and talk,SELF
SKH,1121,7,RAJ,T,C,talks,TEACHER
SKH,1121,7,RAJ,RAJ,OP,listens and types,SELF
SKH,1121,7,RAJ,RAJ,OA,responds,SELF
SKH,1121,7,RAJ,T,C,talks,TEACHER
